What is your gender?,,What is your age?,What's your highest educational qualification?,What's your occupation?,,How long have you been engaged in software development?,How often do you participate in or contribute to open source software communities?,Do you agree that the following factors motivate you to make contributions on Stack Overflow? Please choose an option for each factors.,,,,,,,,,,,,,I feel enthusiastically when tackling difficult problems.,"When facing a difficult problem, I try my best to solve it.",I feel very competent when I am solving others' problems.,"When participating in Stack Overflow, I get many chances to show my capability.",I feel like I can pretty much be myself when participating the community.,I feel like I can make a lot of inputs to deciding how I contribute to the community.,People in the community are pretty friendly towards me.,I really like the people in the community.,Do you agree that the following incentive mechanisms have a long-term incentive effect on user participation?,,,"Do you agree that the reputation and ranking mechanisms have a negative impact on the community atmosphere? e.g., people are competitive in earning reputation points.","Do you agree that the privilege mechanism can discourage and decrease user participation? e.g., the users without certain privileges cannot perform certain activities.","Do you agree that the incentive mechanisms have a negative impact on contribution quality? e.g., people try to post the first answer to a question as soon as possible, without paying enough attention to quality.","Do you agree that the incentive mechanisms have a negative impact on solving difficult questions? e.g., people try to answer easy questions to earn reputation and badges, and they do not want to devote their time to tackling difficult questions."
Male,,25-34,Master degree,Company employee,,6~10 years,Sometimes,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,,Usually,Always,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
Male,,18-24,Bachelor degree,Company employee,,>10 years,Sometimes,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,,Always,Always,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree
Male,,25-34,Bachelor degree,Researcher,,>10 years,Usually,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Usually,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Master degree,Self-employed,,6~10 years,Rarely,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,Always,Always,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Usually,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,,Sometimes,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree
Male,,25-34,High school or below,Full-time open source developer,,1~5 years,Sometimes,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,,Always,Always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Self-employed,,>10 years,Sometimes,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,,Always,Always,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Always,Always,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree
Male,,55-64,Doctorate or above,Company employee,,>10 years,Usually,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,,Usually,Usually,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
Male,,18-24,Junior college,Company employee,,6~10 years,Never,Agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,,Usually,Usually,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Strongly agree
Male,,25-34,Master degree,Company employee,,1~5 years,Sometimes,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,,Usually,Always,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,35-44,Bachelor degree,Self-employed,,6~10 years,Sometimes,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Always,Always,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,35-44,Bachelor degree,Company employee,,>10 years,Rarely,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,,Always,Usually,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Company employee,,>10 years,Sometimes,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,,Always,Always,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Sometimes,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,Usually,Usually,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree
Male,,25-34,Bachelor degree,Self-employed,,6~10 years,Always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Always,Always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Neither agree nor disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Sometimes,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,,Usually,Usually,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Sometimes,Agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,,Usually,Usually,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
Male,,35-44,Master degree,Company employee,,>10 years,Rarely,Agree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,,Sometimes,Usually,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree
Male,,18-24,Bachelor degree,Student,,1~5 years,Rarely,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,,Usually,Sometimes,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree
Male,,45-54,Bachelor degree,Company employee,,>10 years,Sometimes,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
Male,,45-54,Junior college,Company employee,,>10 years,Rarely,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Sometimes,Always,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
Male,,25-34,High school or below,Company employee,,6~10 years,Rarely,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,,Sometimes,Always,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
Male,,25-34,Junior college,Company employee,,6~10 years,Rarely,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,,Usually,Usually,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree
Male,,25-34,Bachelor degree,Full-time open source developer,,6~10 years,Usually,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,,Sometimes,Always,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Sometimes,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,,Always,Usually,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,,Usually,Usually,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree
Male,,35-44,Master degree,Company employee,,>10 years,Sometimes,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,,Sometimes,Always,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Rarely,Disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,logging in and seeing the +x points notification if more rewarding then likes on facebook,Usually,Always,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree
Male,,25-34,Bachelor degree,Self-employed,,>10 years,Usually,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,,Usually,Always,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree
Male,,35-44,Bachelor degree,Company employee,,>10 years,Sometimes,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,Always,Usually,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree
Male,,25-34,Master degree,Company employee,,6~10 years,Rarely,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,,Always,Always,Strongly agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Never,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,,Usually,Usually,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,35-44,Bachelor degree,Other (please specify),Company employee and business owner,>10 years,Sometimes,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,,Usually,Usually,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Male,,35-44,Master degree,Company employee,,6~10 years,Always,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,Always,Always,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Male,,35-44,Bachelor degree,Company employee,,>10 years,Sometimes,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Usually,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Company employee,,>10 years,Sometimes,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,,Usually,Always,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree
Male,,25-34,Master degree,Student,,1~5 years,Sometimes,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,,Always,Always,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Never,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Rarely,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Usually,Usually,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree
Male,,18-24,Bachelor degree,Self-employed,,1~5 years,Usually,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,,Always,Always,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Sometimes,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Usually,Agree,Disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree
Male,,18-24,Junior college,Student,,>10 years,Sometimes,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,,Usually,Usually,Agree,Agree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree
Male,,35-44,High school or below,Company employee,,6~10 years,Rarely,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,,Always,Always,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree
Male,,35-44,Bachelor degree,Company employee,,6~10 years,Rarely,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Usually,Usually,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Rarely,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,,Always,Always,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree
Male,,35-44,Polytechnic,Unemployed,,6~10 years,Sometimes,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,Sometimes,Sometimes,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,18-24,High school or below,Student,,6~10 years,Sometimes,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Always,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree
Male,,35-44,Polytechnic,Company employee,,>10 years,Rarely,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Always,Always,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,High school or below,Full-time open source developer,,6~10 years,Sometimes,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Usually,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Rarely,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Sometimes,Usually,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree
Male,,45-54,Master degree,Company employee,,>10 years,Never,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,Usually,Always,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,45-54,Master degree,Company employee,,>10 years,Usually,Neither agree nor disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,,Usually,Usually,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree
Male,,45-54,Master degree,Company employee,,>10 years,Sometimes,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,,Always,Always,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree
Male,,25-34,Polytechnic,Self-employed,,>10 years,Rarely,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Always,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Sometimes,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Sometimes,Sometimes,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Always,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Usually,Always,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Student,,1~5 years,Rarely,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Always,Always,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree
Male,,18-24,High school or below,Company employee,,>10 years,Rarely,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,,Usually,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Usually,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Usually,Usually,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Usually,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Usually,Always,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Male,,35-44,Doctorate or above,Company employee,,6~10 years,Rarely,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,,Always,Always,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
Male,,35-44,Bachelor degree,Company employee,,>10 years,Usually,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Usually,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,45-54,Master degree,Company employee,,>10 years,Rarely,Strongly agree,Agree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,,Always,Usually,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
Male,,25-34,Doctorate or above,Researcher,,1~5 years,Rarely,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Usually,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree
