What is your gender?,,What's your occupation?,,How long have you been engaged in software development? (except the time in school),How often do you participate in or contribute to open source software communities?,What factors motivate you to make contributions on Stack Overflow? Please choose an option for each factors.,,,,,,,,Do you have a goal of earning certain reputation points?,,Do you have a goal of earning certain badges?,,Do you have a goal of getting a certain rank in the community?,,Are you likely contribute less or even stop contributing after achieving a specific goal?,,,,How often do you check for the updates of the virtual rewards on Stack Overflow?,,,
Male,,Agree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,"One of my motivations, but not important",A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important",A secondary motivation,Bragging rights.,No,,No,,No,,Unlikely,Unlikely,Unlikely,Likely,Sometimes,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Rarely,A secondary motivation,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Never,Never,Never
Male,,Neither agree nor disagree,,>10 years,Sometimes,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",Getting help when I'm stuck,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Rarely,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Neither agree nor disagree,,>10 years,Sometimes,A secondary motivation,"One of my motivations, but not important",A secondary motivation,The most primary motivation,A secondary motivation,Not my motivation,Not my motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Usually,A secondary motivation,The most primary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",A secondary motivation,,No,,"Yes (please specify the most desired badge you want to earn, e.g., explainer)",C#,"Yes (please specify your target ranking, e.g., top10 contributor)",top 0.01%,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Sometimes,Rarely,Sometimes
Male,,Agree,,>10 years,Sometimes,The most primary motivation,,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,"Yes (please specify your target ranking, e.g., top10 contributor)",Top 15 %,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Rarely,Sometimes,Never
Male,,Agree,,6~10 years,Usually,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Strongly disagree,,6~10 years,Usually,The most primary motivation,The most primary motivation,Not my motivation,A secondary motivation,A secondary motivation,Not my motivation,A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Never,Rarely
Male,,Agree,,>10 years,Rarely,The most primary motivation,The most primary motivation,"One of my motivations, but not important",A secondary motivation,A secondary motivation,Not my motivation,The most primary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Disagree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Neither agree nor disagree,,1~5 years,Rarely,The most primary motivation,The most primary motivation,Not my motivation,A secondary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Usually,Usually,Usually,Usually
Male,,Agree,,>10 years,Rarely,"One of my motivations, but not important",The most primary motivation,Not my motivation,A secondary motivation,A secondary motivation,Not my motivation,A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Unlikely,Rarely,Never,Never,Rarely
Male,,Agree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",A secondary motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Neither likely nor unlikely,Rarely,Rarely,Never,Never
Male,,Agree,,6~10 years,Usually,A secondary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Never,Never,Rarely
Male,,Agree,,>10 years,Sometimes,A secondary motivation,The most primary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Rarely,Rarely,Rarely,Sometimes
Male,,Agree,,>10 years,Rarely,The most primary motivation,A secondary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Usually,The most primary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,,,,,Never,Never,Never,Never
Male,,Strongly disagree,,1~5 years,Sometimes,A secondary motivation,The most primary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Rarely,The most primary motivation,The most primary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Unemployed,,>10 years,Sometimes,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,A secondary motivation,"One of my motivations, but not important",A secondary motivation,The most primary motivation,"One of my motivations, but not important","One of my motivations, but not important",A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Never,Never,Rarely
Male,,,ISV,>10 years,Never,"One of my motivations, but not important",A secondary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",Primary: Asking questions to get answers to my own programming problems,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Sometimes,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Sometimes,A secondary motivation,The most primary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Rarely,The most primary motivation,The most primary motivation,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,The most primary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Never,Never,Usually
Male,,Neither agree nor disagree,,>10 years,Usually,"One of my motivations, but not important",The most primary motivation,The most primary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,The most primary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,"One of my motivations, but not important",A secondary motivation,A secondary motivation,Not my motivation,A secondary motivation,,No,,No,,"Yes (please specify your target ranking, e.g., top10 contributor)",Stay in top 2% overall,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Sometimes,Sometimes,Rarely
Male,,Agree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Never
Male,,Agree,,>10 years,Rarely,The most primary motivation,The most primary motivation,A secondary motivation,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Rarely,The most primary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Rarely,Never,Never
Male,,Agree,,>10 years,Sometimes,The most primary motivation,"One of my motivations, but not important",Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Never,Never
Male,,Neither agree nor disagree,,>10 years,Usually,The most primary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Usually,Rarely,Rarely,Never
Male,,Unemployed,,>10 years,Usually,A secondary motivation,A secondary motivation,Not my motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Never,Never,Never
Male,,Agree,,6~10 years,Usually,A secondary motivation,The most primary motivation,The most primary motivation,A secondary motivation,A secondary motivation,Not my motivation,Not my motivation,,No,,No,,No,,,,,,Never,Never,Never,Never
Male,,,developer (not open source),>10 years,Rarely,"One of my motivations, but not important",The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Rarely,Never,Never,Never
Male,,Agree,,1~5 years,Rarely,The most primary motivation,The most primary motivation,Not my motivation,A secondary motivation,A secondary motivation,Not my motivation,A secondary motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Neither likely nor unlikely,Rarely,Rarely,Never,Never
Male,,Agree,,>10 years,Rarely,A secondary motivation,The most primary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Never,Rarely,Never
Male,,Agree,,>10 years,Rarely,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Never,Never,Never
Male,,Agree,,>10 years,Rarely,"One of my motivations, but not important",The most primary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Usually,Usually,Usually,Sometimes
Male,,Agree,,>10 years,Sometimes,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",A secondary motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Sometimes,Sometimes,Sometimes,Sometimes
Male,,Neither agree nor disagree,,>10 years,Rarely,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",,"Yes (please specify your target points, e.g., 10k reputation points)",100k,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Sometimes,Sometimes,Sometimes,Sometimes
Male,,Neither agree nor disagree,,>10 years,Usually,The most primary motivation,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Helping other allows me to pay back the community that has become invaluable to my work.,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Neither likely nor unlikely,Rarely,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Rarely,The most primary motivation,The most primary motivation,"One of my motivations, but not important",A secondary motivation,A secondary motivation,"One of my motivations, but not important",A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Usually,The most primary motivation,A secondary motivation,A secondary motivation,A secondary motivation,A secondary motivation,A secondary motivation,The most primary motivation,,"Yes (please specify your target points, e.g., 10k reputation points)","25,000 (achieved)","Yes (please specify the most desired badge you want to earn, e.g., explainer)",Identity tag badges,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Neither agree nor disagree,,>10 years,Rarely,The most primary motivation,The most primary motivation,A secondary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important",A secondary motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Rarely,Sometimes
Male,,Agree,,>10 years,Sometimes,The most primary motivation,Not my motivation,Not my motivation,A secondary motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Never,Never
Male,,,Entreprenuer,>10 years,Sometimes,The most primary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Never,Rarely,Rarely
Male,,Agree,,>10 years,Always,The most primary motivation,The most primary motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Rarely,Rarely,Never
Male,,Agree,,>10 years,Always,The most primary motivation,Not my motivation,Not my motivation,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,Supporting my open source project using SO as community support,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Never,Never,Never
Male,,Agree,,6~10 years,Usually,The most primary motivation,A secondary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,A secondary motivation,"One of my motivations, but not important",,No,,No,,No,,Neither likely nor unlikely,Unlikely,Unlikely,Unlikely,Rarely,Never,Never,Never
Male,,Agree,,<1 year,Rarely,The most primary motivation,The most primary motivation,,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Usually,The most primary motivation,"One of my motivations, but not important",Not my motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,A secondary motivation,,No,,No,,No,,Unlikely,Very unlikely,Very unlikely,Unlikely,Sometimes,Never,Never,Never
Male,,Agree,,>10 years,Always,The most primary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",Not my motivation,"One of my motivations, but not important",Helping me remember how to solve my own programming problems,No,,"Yes (please specify the most desired badge you want to earn, e.g., explainer)",Socratic,No,,Unlikely,Unlikely,Unlikely,Unlikely,Sometimes,Sometimes,Rarely,Rarely
Male,,Agree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Never,Never
Male,,Agree,,6~10 years,Always,The most primary motivation,The most primary motivation,A secondary motivation,A secondary motivation,A secondary motivation,The most primary motivation,The most primary motivation,,"Yes (please specify your target points, e.g., 10k reputation points)",1K,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,1~5 years,Sometimes,A secondary motivation,The most primary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,"One of my motivations, but not important",Not my motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Rarely,Never
Male,,Neither agree nor disagree,,6~10 years,Sometimes,A secondary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,1~5 years,Rarely,The most primary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Rarely,The most primary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,"One of my motivations, but not important",A secondary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Always,Usually,Usually,Usually
Male,,Agree,,>10 years,Never,A secondary motivation,The most primary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Usually,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Unlikely,Very unlikely,Unlikely,Unlikely,Rarely,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,A secondary motivation,The most primary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Never,Never,Rarely
Male,,Agree,,6~10 years,Rarely,The most primary motivation,Not my motivation,The most primary motivation,The most primary motivation,The most primary motivation,The most primary motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Sometimes,Sometimes,Sometimes,Sometimes
Male,,Agree,,>10 years,Sometimes,The most primary motivation,"One of my motivations, but not important",Not my motivation,A secondary motivation,A secondary motivation,Not my motivation,A secondary motivation,It feels really good to share the tricks that will save other developers lots of frustration ,"Yes (please specify your target points, e.g., 10k reputation points)",50k,"Yes (please specify the most desired badge you want to earn, e.g., explainer)","HTML - it seems silly but I¨¹ve been doing web dev for 20 years, thus I want to officially earn this badge",No,,Unlikely,Unlikely,Very unlikely,Unlikely,Usually,Rarely,Never,Never
Male,,Agree,,>10 years,Sometimes,The most primary motivation,"One of my motivations, but not important",Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Unlikely,Very unlikely,Unlikely,Neither likely nor unlikely,Sometimes,Never,Rarely,Never
Male,,Agree,,>10 years,Rarely,"One of my motivations, but not important","One of my motivations, but not important",The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Sometimes,A secondary motivation,The most primary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Neither agree nor disagree,,>10 years,Never,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Never,Never
Male,,Agree,,>10 years,Rarely,A secondary motivation,The most primary motivation,"One of my motivations, but not important",The most primary motivation,,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Rarely,A secondary motivation,The most primary motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,"One of my motivations, but not important",,"Yes (please specify your target points, e.g., 10k reputation points)",10000 points,No,,No,,Unlikely,Very unlikely,Unlikely,Unlikely,Rarely,Never,Never,Rarely
Male,,Agree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,Not my motivation,,,,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Sometimes,Rarely,Never
Male,,Strongly agree,,6~10 years,Sometimes,"One of my motivations, but not important",A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Sometimes,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Rarely,The most primary motivation,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,6~10 years,Rarely,The most primary motivation,"One of my motivations, but not important",Not my motivation,A secondary motivation,Not my motivation,Not my motivation,A secondary motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Never,Never,Never
Male,,Agree,,>10 years,Rarely,The most primary motivation,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,A secondary motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Never,Never,Never,Never
Male,,Unemployed,,>10 years,Always,The most primary motivation,A secondary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Never,Never,Never
Male,,Agree,,>10 years,Rarely,The most primary motivation,A secondary motivation,,"One of my motivations, but not important",,"One of my motivations, but not important",Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,6~10 years,Sometimes,A secondary motivation,The most primary motivation,Not my motivation,A secondary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Neither likely nor unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,6~10 years,Never,"One of my motivations, but not important",The most primary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,The most primary motivation,The most primary motivation,"One of my motivations, but not important",A secondary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Never,Never,Rarely
Male,,Strongly agree,,>10 years,Sometimes,A secondary motivation,A secondary motivation,"One of my motivations, but not important",A secondary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Usually,A secondary motivation,The most primary motivation,"One of my motivations, but not important",A secondary motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Likely,Very unlikely,Unlikely,Likely,Usually,Rarely,Never,Rarely
Male,,Agree,,>10 years,Rarely,The most primary motivation,A secondary motivation,A secondary motivation,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Never,Never,Never
Male,,Agree,,>10 years,Rarely,The most primary motivation,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,,Software Developer (Contractor),>10 years,Rarely,"One of my motivations, but not important",The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Never,Never,Never
Male,,Agree,,1~5 years,Usually,The most primary motivation,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,6~10 years,Rarely,The most primary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Never,Never,Never
Male,,Agree,,6~10 years,Rarely,A secondary motivation,A secondary motivation,Not my motivation,The most primary motivation,A secondary motivation,Not my motivation,Not my motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Never,Never,Never,Never
Male,,Agree,,6~10 years,Sometimes,The most primary motivation,The most primary motivation,"One of my motivations, but not important",A secondary motivation,A secondary motivation,A secondary motivation,"One of my motivations, but not important",,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",The most primary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Never,Never,Never
Male,,Agree,,6~10 years,Rarely,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",Not my motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,,Rarely,Rarely
